Colorado, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,2.25,1.90
189605,-1.00,-1.35
189705,1.12,0.77
189805,2.44,2.09
189905,-1.46,-1.81
190005,-0.52,-0.87
190105,-3.04,-3.39
190205,-4.92,-5.27
190305,0.64,0.29
190405,0.09,-0.26
190505,3.05,2.70
190605,2.32,1.97
190705,3.20,2.85
190805,0.31,-0.04
190905,3.54,3.19
191005,-1.48,-1.83
191105,-2.66,-3.01
191205,1.78,1.43
191305,-1.26,-1.61
191405,3.01,2.66
191505,3.74,3.39
191605,3.52,3.17
191705,4.77,4.42
191805,-0.70,-1.05
191905,0.96,0.61
192005,3.73,3.38
192105,2.29,1.94
192205,-0.31,-0.66
192305,1.00,0.65
192405,5.34,4.99
192505,-3.86,-4.21
192605,1.76,1.41
192705,-1.05,-1.40
192805,2.03,1.68
192905,2.73,2.38
193005,1.23,0.88
193105,-0.78,-1.13
193205,-0.82,-1.17
193305,-1.88,-2.23
193405,-4.45,-4.80
193505,-2.98,-3.33
193605,-3.32,-3.67
193705,-2.85,-3.20
193805,1.53,1.18
193905,-1.38,-1.73
194005,-3.62,-3.97
194105,2.40,2.05
194205,6.47,6.12
194305,0.58,0.23
194405,2.51,2.16
194505,0.72,0.37
194605,-1.76,-2.11
194705,2.47,2.12
194805,3.49,3.14
194905,2.18,1.83
195005,-2.02,-2.37
195105,0.08,-0.27
195205,0.02,-0.33
195305,-1.65,-2.00
195405,-4.22,-4.57
195505,-4.39,-4.74
195605,-2.99,-3.34
195705,4.28,3.93
195805,-0.12,-0.47
195905,-1.20,-1.55
196005,-0.55,-0.90
196105,0.21,-0.14
196205,-0.65,-1.00
196305,-4.44,-4.79
196405,-4.58,-4.93
196505,1.03,0.68
196605,-1.48,-1.83
196705,0.49,0.14
196805,-0.08,-0.43
196905,0.15,-0.20
197005,3.14,2.79
197105,2.08,1.73
197205,-2.73,-3.08
197305,3.77,3.42
197405,-1.37,-1.72
197505,0.89,0.54
197605,-0.79,-1.14
197705,-4.01,-4.36
197805,-2.07,-2.42
197905,3.11,2.76
198005,4.95,4.60
198105,-4.18,-4.53
198205,0.55,0.20
198305,3.97,3.62
198405,4.21,3.86
198505,4.25,3.90
198605,2.25,1.90
198705,3.84,3.49
198805,1.72,1.37
198905,-2.45,-2.80
199005,-3.01,-3.36
199105,-2.11,-2.46
199205,-1.04,-1.39
199305,2.84,2.49
199405,-0.48,-0.83
199505,3.84,3.49
199605,0.87,0.52
199705,1.92,1.57
199805,3.12,2.77
199905,2.39,2.04
200005,-2.22,-2.57
200105,-2.28,-2.63
200205,-6.79,-7.14
200305,-5.01,-5.36
200405,-4.47,-4.82
200505,1.25,0.90
200605,-3.20,-3.55
200705,-0.23,-0.58
200805,-0.36,-0.71
200905,0.17,-0.18
201005,1.23,0.88
201105,0.80,0.45
201205,-4.15,-4.50
201305,-6.04,-6.39
201405,0.47,0.12
201505,2.56,2.21
201605,1.93,1.58
201705,0.73,0.38
201805,-4.63,-4.98
201905,2.06,1.71
202005,-3.28,-3.63
202105,-4.57,-4.92
