New Mexico, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189506,4.27,3.89
189606,-2.08,-2.46
189706,4.54,4.16
189806,2.26,1.88
189906,-1.84,-2.22
190006,-0.29,-0.67
190106,-1.11,-1.49
190206,-2.51,-2.89
190306,2.56,2.18
190406,-4.16,-4.54
190506,7.73,7.35
190606,5.63,5.25
190706,4.37,3.99
190806,1.34,0.96
190906,-1.71,-2.09
191006,-3.83,-4.21
191106,0.75,0.37
191206,2.04,1.66
191306,2.10,1.72
191406,1.95,1.57
191506,6.57,6.19
191606,1.91,1.53
191706,-0.99,-1.37
191806,-3.28,-3.66
191906,5.99,5.61
192006,5.01,4.63
192106,1.54,1.16
192206,-1.86,-2.24
192306,-0.83,-1.21
192406,2.88,2.50
192506,-4.16,-4.54
192606,3.24,2.86
192706,0.43,0.05
192806,-0.84,-1.22
192906,-0.69,-1.07
193006,-1.35,-1.73
193106,3.07,2.69
193206,3.59,3.21
193306,0.81,0.43
193406,-3.94,-4.32
193506,-2.16,-2.54
193606,-0.59,-0.97
193706,2.30,1.92
193806,0.61,0.23
193906,-0.84,-1.22
194006,0.61,0.23
194106,8.83,8.45
194206,9.12,8.74
194306,-1.21,-1.59
194406,0.55,0.17
194506,-1.73,-2.11
194606,-3.44,-3.82
194706,-2.47,-2.85
194806,2.62,2.24
194906,2.17,1.79
195006,-3.51,-3.89
195106,-3.35,-3.73
195206,-1.96,-2.34
195306,-2.81,-3.19
195406,-4.75,-5.13
195506,-3.78,-4.16
195606,-4.86,-5.24
195706,-3.91,-4.29
195806,4.00,3.62
195906,-2.01,-2.39
196006,0.37,-0.01
196106,-0.64,-1.02
196206,-1.00,-1.38
196306,-1.74,-2.12
196406,-2.76,-3.14
196506,0.87,0.49
196606,0.79,0.41
196706,0.55,0.17
196806,-0.74,-1.12
196906,0.77,0.39
197006,-0.83,-1.21
197106,-4.12,-4.50
197206,0.20,-0.18
197306,5.43,5.05
197406,-4.40,-4.78
197506,2.28,1.90
197606,-2.39,-2.77
197706,-1.25,-1.63
197806,0.77,0.39
197906,4.85,4.47
198006,-0.63,-1.01
198106,-2.36,-2.74
198206,-1.43,-1.81
198306,2.75,2.37
198406,1.17,0.79
198506,5.89,5.51
198606,3.50,3.12
198706,7.39,7.01
198806,3.62,3.24
198906,-2.97,-3.35
199006,-2.75,-3.13
199106,0.56,0.18
199206,6.24,5.86
199306,3.31,2.93
199406,-0.96,-1.34
199506,-0.09,-0.47
199606,0.59,0.21
199706,1.57,1.19
199806,-1.22,-1.60
199906,0.67,0.29
200006,-3.11,-3.49
200106,2.38,2.00
200206,-4.31,-4.69
200306,-2.88,-3.26
200406,0.48,0.10
200506,3.66,3.28
200606,-4.83,-5.21
200706,-0.03,-0.41
200806,-2.22,-2.60
200906,-2.80,-3.18
201006,1.54,1.16
201106,-5.26,-5.64
201206,-5.03,-5.41
201306,-6.12,-6.50
201406,-4.50,-4.88
201506,1.51,1.13
201606,-1.62,-2.00
201706,-1.38,-1.76
201806,-4.97,-5.35
201906,-1.24,-1.62
202006,-2.34,-2.72
